uri,Alias,Genotype,Treatment,Repetition,Sowing,Harvesting,Biomass(gramos_pesofresco)
http://www.phenome-fppn.fr/m3p/arch/2017/c17000001,0001/DZ_PG_47/ZM4362/WD/Veg_1/01_01/ARCH2017-03-30,iPG202,WD,1,06/04/2017,16/05/2017,327
http://www.phenome-fppn.fr/m3p/arch/2017/c17000002,0002/DZ_PG_07/ZM4351/WD/Veg_1/01_02/ARCH2017-03-30,iPG062,WD,1,06/04/2017,16/05/2017,345
http://www.phenome-fppn.fr/m3p/arch/2017/c17000003,0003/DZ_PG_26/ZM4387/WD/Veg_1/01_03/ARCH2017-03-30,iPG138,WD,1,06/04/2017,16/05/2017,310
http://www.phenome-fppn.fr/m3p/arch/2017/c17000004,0004/DZ_PG_12/ZM1304_lot1/WD/Veg_1/01_04/ARCH2017-03-30,iPG082,WD,1,06/04/2017,16/05/2017,245
http://www.phenome-fppn.fr/m3p/arch/2017/c17000005,0005/DZ_PG_50/ZM4363/WD/Veg_1/01_05/ARCH2017-03-30,iPG233,WD,1,06/04/2017,16/05/2017,243
http://www.phenome-fppn.fr/m3p/arch/2017/c17000006,0006/DZ_PG_13/ZM4379/WD/Veg_1/01_06/ARCH2017-03-30,iPG089,WD,1,06/04/2017,16/05/2017,264
http://www.phenome-fppn.fr/m3p/arch/2017/c17000007,0007/DZ_PG_53/ZM4345/WD/Veg_1/01_07/ARCH2017-03-30,iPG190,WD,1,06/04/2017,16/05/2017,339
http://www.phenome-fppn.fr/m3p/arch/2017/c17000008,0008/DZ_PG_14/ZM4375/WD/Veg_1/01_08/ARCH2017-03-30,iPG101,WD,1,06/04/2017,16/05/2017,250
http://www.phenome-fppn.fr/m3p/arch/2017/c17000009,0009/DZ_PG_06/ZM4376/WD/Veg_1/01_09/ARCH2017-03-30,iPG029,WD,1,06/04/2017,16/05/2017,292
http://www.phenome-fppn.fr/m3p/arch/2017/c17000010,0010/DZ_PG_19/ZM4367/WD/Veg_1/01_10/ARCH2017-03-30,iPG117,WD,1,06/04/2017,16/05/2017,299
http://www.phenome-fppn.fr/m3p/arch/2017/c17000011,0011/DZ_PG_33/ZM4353/WD/Veg_1/01_11/ARCH2017-03-30,iPG158,WD,1,06/04/2017,16/05/2017,338
http://www.phenome-fppn.fr/m3p/arch/2017/c17000012,0012/DZ_PG_31/ZM4347/WD/Veg_1/01_12/ARCH2017-03-30,iPG153,WD,1,06/04/2017,16/05/2017,358
http://www.phenome-fppn.fr/m3p/arch/2017/c17000013,0013/DZ_PG_08/ZM4343/WD/Veg_1/01_13/ARCH2017-03-30,iPG063,WD,1,06/04/2017,16/05/2017,256
http://www.phenome-fppn.fr/m3p/arch/2017/c17000014,0014/DZ_PG_25/ZM4382/WD/Veg_1/01_14/ARCH2017-03-30,iPG136,WD,1,06/04/2017,16/05/2017,203
http://www.phenome-fppn.fr/m3p/arch/2017/c17000015,0015/DZ_PG_02/ZM4356/WD/Veg_1/01_15/ARCH2017-03-30,iPG007,WD,1,06/04/2017,16/05/2017,238
http://www.phenome-fppn.fr/m3p/arch/2017/c17000016,0016/DZ_PG_74/ZM4397/WD/Veg_1/01_16/ARCH2017-03-30,iPG313,WD,1,06/04/2017,16/05/2017,281
http://www.phenome-fppn.fr/m3p/arch/2017/c17000017,0017/DZ_PG_20/ZM4344/WD/Veg_1/01_17/ARCH2017-03-30,iPG119,WD,1,06/04/2017,16/05/2017,264
http://www.phenome-fppn.fr/m3p/arch/2017/c17000018,0018/DZ_PG_03/ZM4377/WD/Veg_1/01_18/ARCH2017-03-30,iPG017,WD,1,06/04/2017,16/05/2017,299
http://www.phenome-fppn.fr/m3p/arch/2017/c17000019,0019/DZ_PG_01/ZM4381/WD/Veg_1/01_19/ARCH2017-03-30,iPG004,WD,1,06/04/2017,16/05/2017,223
http://www.phenome-fppn.fr/m3p/arch/2017/c17000020,0020/DZ_PG_23/ZM4388/WD/Veg_1/01_20/ARCH2017-03-30,iPG128,WD,1,06/04/2017,16/05/2017,293
http://www.phenome-fppn.fr/m3p/arch/2017/c17000021,0021/DZ_PG_28/ZM4383/WD/Veg_1/01_21/ARCH2017-03-30,iPG148,WD,1,06/04/2017,16/05/2017,207
http://www.phenome-fppn.fr/m3p/arch/2017/c17000022,0022/DZ_PG_49/ZM4389/WD/Veg_1/01_22/ARCH2017-03-30,iPG228,WD,1,06/04/2017,16/05/2017,243
http://www.phenome-fppn.fr/m3p/arch/2017/c17000023,0023/DZ_PG_72/ZM4398/WD/Veg_1/01_23/ARCH2017-03-30,iPG314,WD,1,06/04/2017,16/05/2017,315
http://www.phenome-fppn.fr/m3p/arch/2017/c17000024,0024/DZ_PG_68/ZM4395/WD/Veg_1/01_24/ARCH2017-03-30,iPG311,WD,1,06/04/2017,16/05/2017,200
http://www.phenome-fppn.fr/m3p/arch/2017/c17000025,0025/DZ_PG_40/ZM4390/WD/Veg_1/01_25/ARCH2017-03-30,iPG176,WD,1,06/04/2017,16/05/2017,240
http://www.phenome-fppn.fr/m3p/arch/2017/c17000026,0026/DZ_PG_30/ZM4361/WD/Veg_1/01_26/ARCH2017-03-30,iPG152,WD,1,06/04/2017,16/05/2017,274
http://www.phenome-fppn.fr/m3p/arch/2017/c17000027,0027/DZ_PG_09/ZM4368/WD/Veg_1/01_27/ARCH2017-03-30,iPG066,WD,1,06/04/2017,16/05/2017,246
http://www.phenome-fppn.fr/m3p/arch/2017/c17000028,0028/DZ_PG_48/ZM4421/WD/Veg_1/01_28/ARCH2017-03-30,iPG216,WD,1,06/04/2017,16/05/2017,239
http://www.phenome-fppn.fr/m3p/arch/2017/c17000029,0029/DZ_PG_22/ZM4349/WD/Veg_1/01_29/ARCH2017-03-30,iPG121,WD,1,06/04/2017,16/05/2017,197
http://www.phenome-fppn.fr/m3p/arch/2017/c17000030,0030/DZ_PG_24/ZM4342/WD/Veg_1/01_30/ARCH2017-03-30,iPG131,WD,1,06/04/2017,16/05/2017,273
http://www.phenome-fppn.fr/m3p/arch/2017/c17000031,0031/DZ_PG_66/ZM4391/WD/Veg_1/01_31/ARCH2017-03-30,iPG318,WD,1,06/04/2017,16/05/2017,243
http://www.phenome-fppn.fr/m3p/arch/2017/c17000032,0032/DZ_PG_45/ZM4385/WD/Veg_1/01_32/ARCH2017-03-30,iPG194,WD,1,06/04/2017,16/05/2017,262
http://www.phenome-fppn.fr/m3p/arch/2017/c17000033,0033/DZ_PG_17/ZM4348/WD/Veg_1/01_33/ARCH2017-03-30,iPG110,WD,1,06/04/2017,16/05/2017,269
http://www.phenome-fppn.fr/m3p/arch/2017/c17000034,0034/DZ_PG_51/ZM4350/WD/Veg_1/01_34/ARCH2017-03-30,iPG234,WD,1,06/04/2017,16/05/2017,374
http://www.phenome-fppn.fr/m3p/arch/2017/c17000035,0035/DZ_PG_34/ZM4384/WD/Veg_1/01_35/ARCH2017-03-30,iPG159,WD,1,06/04/2017,16/05/2017,287
http://www.phenome-fppn.fr/m3p/arch/2017/c17000036,0036/DZ_PG_38/ZM1289/WD/Veg_1/01_36/ARCH2017-03-30,iPG169,WD,1,06/04/2017,16/05/2017,232
http://www.phenome-fppn.fr/m3p/arch/2017/c17000037,0037/DZ_PG_62/ZM4393/WD/Veg_1/01_37/ARCH2017-03-30,iPG303,WD,1,06/04/2017,16/05/2017,282
http://www.phenome-fppn.fr/m3p/arch/2017/c17000038,0038/DZ_PG_55/ZM4355/WD/Veg_1/01_38/ARCH2017-03-30,iPG146,WD,1,06/04/2017,16/05/2017,394
http://www.phenome-fppn.fr/m3p/arch/2017/c17000039,0039/DZ_PG_18/ZM4373/WD/Veg_1/01_39/ARCH2017-03-30,iPG111,WD,1,06/04/2017,16/05/2017,247
http://www.phenome-fppn.fr/m3p/arch/2017/c17000040,0040/DZ_PG_37/ZM4364/WD/Veg_1/01_40/ARCH2017-03-30,iPG167,WD,1,06/04/2017,16/05/2017,261
http://www.phenome-fppn.fr/m3p/arch/2017/c17000041,0041/DZ_PG_36/ZM4372/WD/Veg_1/01_41/ARCH2017-03-30,iPG165,WD,1,06/04/2017,16/05/2017,229
http://www.phenome-fppn.fr/m3p/arch/2017/c17000042,0042/DZ_PG_05/ZM4357/WD/Veg_1/01_42/ARCH2017-03-30,iPG026,WD,1,06/04/2017,16/05/2017,225
http://www.phenome-fppn.fr/m3p/arch/2017/c17000043,0043/DZ_PG_21/ZM4360/WD/Veg_1/01_43/ARCH2017-03-30,iPG120,WD,1,06/04/2017,16/05/2017,315
http://www.phenome-fppn.fr/m3p/arch/2017/c17000044,0044/DZ_PG_67/ZM4394/WD/Veg_1/01_44/ARCH2017-03-30,iPG310,WD,1,06/04/2017,16/05/2017,220
http://www.phenome-fppn.fr/m3p/arch/2017/c17000045,0045/DZ_PG_10/ZM4365/WD/Veg_1/01_45/ARCH2017-03-30,iPG073,WD,1,06/04/2017,16/05/2017,191
http://www.phenome-fppn.fr/m3p/arch/2017/c17000046,0046/DZ_PG_63/ZM4392/WD/Veg_1/01_46/ARCH2017-03-30,iPG304,WD,1,06/04/2017,16/05/2017,233
http://www.phenome-fppn.fr/m3p/arch/2017/c17000047,0047/DZ_PG_32/ZM4352/WD/Veg_1/01_47/ARCH2017-03-30,iPG155,WD,1,06/04/2017,16/05/2017,304
http://www.phenome-fppn.fr/m3p/arch/2017/c17000048,0048/DZ_PG_35/ZM4358/WD/Veg_1/01_48/ARCH2017-03-30,iPG164,WD,1,06/04/2017,16/05/2017,228
http://www.phenome-fppn.fr/m3p/arch/2017/c17000049,0049/DZ_PG_54/ZM4346/WD/Veg_1/01_49/ARCH2017-03-30,iPG116,WD,1,06/04/2017,16/05/2017,296
http://www.phenome-fppn.fr/m3p/arch/2017/c17000050,0050/DZ_PG_41/ZM4378/WD/Veg_1/01_50/ARCH2017-03-30,iPG181,WD,1,06/04/2017,16/05/2017,265
http://www.phenome-fppn.fr/m3p/arch/2017/c17000051,0051/DZ_PG_43/ZM4380/WD/Veg_1/01_51/ARCH2017-03-30,iPG188,WD,1,06/04/2017,16/05/2017,229
http://www.phenome-fppn.fr/m3p/arch/2017/c17000052,0052/DZ_PG_44/ZM4369/WD/Veg_1/01_52/ARCH2017-03-30,iPG189,WD,1,06/04/2017,16/05/2017,182
http://www.phenome-fppn.fr/m3p/arch/2017/c17000053,0053/DZ_PG_52/ZM4370/WD/Veg_1/01_53/ARCH2017-03-30,iPG239,WD,1,06/04/2017,16/05/2017,286
http://www.phenome-fppn.fr/m3p/arch/2017/c17000054,0054/DZ_PG_69/ZM4396/WD/Veg_1/01_54/ARCH2017-03-30,iPG312,WD,1,06/04/2017,16/05/2017,276
http://www.phenome-fppn.fr/m3p/arch/2017/c17000055,0055/DZ_PG_39/ZM4371/WD/Veg_1/01_55/ARCH2017-03-30,iPG173,WD,1,06/04/2017,16/05/2017,256
http://www.phenome-fppn.fr/m3p/arch/2017/c17000056,0056/DZ_PG_16/ZM4359/WD/Veg_1/01_56/ARCH2017-03-30,iPG109,WD,1,06/04/2017,16/05/2017,296
http://www.phenome-fppn.fr/m3p/arch/2017/c17000057,0057/DZ_PG_46/ZM4374/WD/Veg_1/01_57/ARCH2017-03-30,iPG195,WD,1,06/04/2017,16/05/2017,254
http://www.phenome-fppn.fr/m3p/arch/2017/c17000058,0058/DZ_PG_04/ZM4366/WD/Veg_1/01_58/ARCH2017-03-30,iPG321,WD,1,06/04/2017,16/05/2017,241
http://www.phenome-fppn.fr/m3p/arch/2017/c17000059,0059/DZ_PG_11/ZM4386/WD/Veg_1/01_59/ARCH2017-03-30,iPG077,WD,1,06/04/2017,16/05/2017,237
http://www.phenome-fppn.fr/m3p/arch/2017/c17000060,0060/DZ_PG_27/ZM4354/WD/Veg_1/01_60/ARCH2017-03-30,iPG103,WD,1,06/04/2017,16/05/2017,351
http://www.phenome-fppn.fr/m3p/arch/2017/c17000061,0061/DZ_PG_07/ZM4351/WW/Rep_1/02_01/ARCH2017-03-30,iPG062,WW,1,06/04/2017,29/05/2017,491
http://www.phenome-fppn.fr/m3p/arch/2017/c17000062,0062/DZ_PG_45/ZM4385/WW/Rep_1/02_02/ARCH2017-03-30,iPG194,WW,1,06/04/2017,15/06/2017,575
http://www.phenome-fppn.fr/m3p/arch/2017/c17000063,0063/DZ_PG_41/ZM4378/WW/Rep_1/02_03/ARCH2017-03-30,iPG181,WW,1,06/04/2017,06/06/2017,539
http://www.phenome-fppn.fr/m3p/arch/2017/c17000064,0064/DZ_PG_50/ZM4363/WW/Rep_1/02_04/ARCH2017-03-30,iPG233,WW,1,06/04/2017,01/06/2017,493
http://www.phenome-fppn.fr/m3p/arch/2017/c17000065,0065/DZ_PG_33/ZM4353/WW/Rep_1/02_05/ARCH2017-03-30,iPG158,WW,1,06/04/2017,29/05/2017,587
http://www.phenome-fppn.fr/m3p/arch/2017/c17000066,0066/DZ_PG_20/ZM4344/WW/Rep_1/02_06/ARCH2017-03-30,iPG119,WW,1,06/04/2017,01/06/2017,385
http://www.phenome-fppn.fr/m3p/arch/2017/c17000067,0067/DZ_PG_31/ZM4347/WW/Rep_1/02_07/ARCH2017-03-30,iPG153,WW,1,06/04/2017,29/05/2017,639
http://www.phenome-fppn.fr/m3p/arch/2017/c17000068,0068/DZ_PG_49/ZM4389/WW/Rep_1/02_08/ARCH2017-03-30,iPG228,WW,1,06/04/2017,06/06/2017,514
http://www.phenome-fppn.fr/m3p/arch/2017/c17000069,0069/DZ_PG_19/ZM4367/WW/Rep_1/02_09/ARCH2017-03-30,iPG117,WW,1,06/04/2017,09/06/2017,508
http://www.phenome-fppn.fr/m3p/arch/2017/c17000070,0070/DZ_PG_16/ZM4359/WW/Rep_1/02_10/ARCH2017-03-30,iPG109,WW,1,06/04/2017,01/06/2017,479
